Date,Close
1/2/2015 16:00:00,2.96
1/5/2015 16:00:00,2.96
1/6/2015 16:00:00,2.91
1/7/2015 16:00:00,2.87
1/8/2015 16:00:00,2.81
1/9/2015 16:00:00,2.84
1/12/2015 16:00:00,2.87
1/13/2015 16:00:00,2.83
1/14/2015 16:00:00,2.93
1/15/2015 16:00:00,3.08
1/16/2015 16:00:00,3.09
1/19/2015 16:00:00,3.17
1/20/2015 16:00:00,3.3
1/21/2015 16:00:00,3.29
1/22/2015 16:00:00,3.2
1/23/2015 16:00:00,3.3
1/27/2015 16:00:00,3.2
1/28/2015 16:00:00,3.2
1/29/2015 16:00:00,3.25
1/30/2015 16:00:00,3.34
2/2/2015 16:00:00,3.3
2/3/2015 16:00:00,3.38
2/4/2015 16:00:00,3.48
2/5/2015 16:00:00,3.52
2/6/2015 16:00:00,3.55
2/9/2015 16:00:00,3.57
2/10/2015 16:00:00,3.76
2/11/2015 16:00:00,3.84
2/12/2015 16:00:00,3.8
2/13/2015 16:00:00,3.94
2/16/2015 16:00:00,4.22
2/17/2015 16:00:00,4.03
2/18/2015 16:00:00,4.16
2/19/2015 16:00:00,4.04
2/20/2015 16:00:00,3.97
2/23/2015 16:00:00,4.1
2/24/2015 16:00:00,4.16
2/25/2015 16:00:00,4.17
2/26/2015 16:00:00,4.18
2/27/2015 16:00:00,4.11
3/2/2015 16:00:00,4.14
3/3/2015 16:00:00,4.17
3/4/2015 16:00:00,4.22
3/5/2015 16:00:00,4.26
3/6/2015 16:00:00,4.38
3/9/2015 16:00:00,4.17
3/10/2015 16:00:00,4.13
3/11/2015 16:00:00,4.07
3/12/2015 16:00:00,4
3/13/2015 16:00:00,4.08
3/16/2015 16:00:00,4.06
3/17/2015 16:00:00,4.07
3/18/2015 16:00:00,4.03
3/19/2015 16:00:00,3.88
3/20/2015 16:00:00,3.73
3/23/2015 16:00:00,3.68
3/24/2015 16:00:00,3.64
3/25/2015 16:00:00,3.61
3/26/2015 16:00:00,3.52
3/27/2015 16:00:00,3.41
3/30/2015 16:00:00,3.34
3/31/2015 16:00:00,3.43
4/1/2015 16:00:00,3.42
4/2/2015 16:00:00,3.52
4/7/2015 16:00:00,3.45
4/8/2015 16:00:00,3.47
4/9/2015 16:00:00,3.35
4/10/2015 16:00:00,3.32
4/13/2015 16:00:00,3.25
4/14/2015 16:00:00,3.34
4/15/2015 16:00:00,3.25
4/16/2015 16:00:00,3.29
4/17/2015 16:00:00,3.31
4/20/2015 16:00:00,3.26
4/21/2015 16:00:00,3.33
4/22/2015 16:00:00,3.26
4/23/2015 16:00:00,3.26
4/24/2015 16:00:00,3.44
4/27/2015 16:00:00,3.52
4/28/2015 16:00:00,3.58
4/29/2015 16:00:00,3.55
4/30/2015 16:00:00,3.63
5/1/2015 16:00:00,3.62
5/4/2015 16:00:00,3.73
5/6/2015 16:00:00,3.75
5/7/2015 16:00:00,3.75
5/8/2015 16:00:00,3.73
5/11/2015 16:00:00,3.9
5/12/2015 16:00:00,3.91
5/13/2015 16:00:00,3.92
5/14/2015 16:00:00,3.79
5/15/2015 16:00:00,3.82
5/18/2015 16:00:00,3.86
5/19/2015 16:00:00,3.84
5/20/2015 16:00:00,3.91
5/21/2015 16:00:00,4.12
5/22/2015 16:00:00,4.14
5/25/2015 16:00:00,4.17
5/26/2015 16:00:00,4.1
5/27/2015 16:00:00,3.99
5/28/2015 16:00:00,4.08
5/29/2015 16:00:00,4.17
6/1/2015 16:00:00,3.97
6/2/2015 16:00:00,4.03
6/3/2015 16:00:00,3.8
6/4/2015 16:00:00,3.42
6/5/2015 16:00:00,3.51
6/9/2015 16:00:00,3.46
6/10/2015 16:00:00,3.49
6/11/2015 16:00:00,3.64
6/12/2015 16:00:00,3.69
6/15/2015 16:00:00,3.62
6/16/2015 16:00:00,3.42
6/17/2015 16:00:00,3.45
6/18/2015 16:00:00,3.8
6/19/2015 16:00:00,3.75
6/22/2015 16:00:00,3.94
6/23/2015 16:00:00,3.83
6/24/2015 16:00:00,3.77
6/25/2015 16:00:00,3.84
6/26/2015 16:00:00,3.77
6/29/2015 16:00:00,3.58
6/30/2015 16:00:00,3.47
7/1/2015 16:00:00,3.64
7/2/2015 16:00:00,3.57
7/3/2015 16:00:00,3.48
7/6/2015 16:00:00,3.39
7/7/2015 16:00:00,3.58
7/8/2015 16:00:00,3.38
7/9/2015 16:00:00,3.48
7/10/2015 16:00:00,3.48
7/13/2015 16:00:00,3.39
7/14/2015 16:00:00,3.59
7/15/2015 16:00:00,3.59
7/16/2015 16:00:00,3.64
7/17/2015 16:00:00,3.63
7/20/2015 16:00:00,3.56
7/21/2015 16:00:00,3.56
7/22/2015 16:00:00,3.48
7/23/2015 16:00:00,3.49
7/24/2015 16:00:00,3.46
7/27/2015 16:00:00,3.31
7/28/2015 16:00:00,3.26
7/29/2015 16:00:00,3.34
7/30/2015 16:00:00,3.41
8/6/2015 16:00:00,3.14
8/7/2015 16:00:00,3.23
8/10/2015 16:00:00,3.31
8/11/2015 16:00:00,3.39
8/12/2015 16:00:00,3.27
8/13/2015 16:00:00,3.22
8/14/2015 16:00:00,2.99
8/17/2015 16:00:00,2.89
8/18/2015 16:00:00,2.99
8/19/2015 16:00:00,2.88
8/20/2015 16:00:00,2.84
8/21/2015 16:00:00,2.77
8/24/2015 16:00:00,2.54
8/25/2015 16:00:00,2.59
8/26/2015 16:00:00,2.52
8/27/2015 16:00:00,2.67
8/28/2015 16:00:00,2.79
8/31/2015 16:00:00,2.8
9/1/2015 16:00:00,2.65
9/2/2015 16:00:00,2.56
9/3/2015 16:00:00,2.58
9/4/2015 16:00:00,2.54
9/7/2015 16:00:00,2.47
9/8/2015 16:00:00,2.53
9/9/2015 16:00:00,2.62
9/10/2015 16:00:00,2.58
9/11/2015 16:00:00,2.72
9/14/2015 16:00:00,2.6
9/15/2015 16:00:00,2.48
9/16/2015 16:00:00,2.5
9/17/2015 16:00:00,2.56
9/18/2015 16:00:00,2.56
9/21/2015 16:00:00,2.49
9/22/2015 16:00:00,2.52
9/23/2015 16:00:00,2.39
9/24/2015 16:00:00,2.3
