Date,Close
1/2/2015 16:00:00,2.26
1/5/2015 16:00:00,2.43
1/6/2015 16:00:00,2.43
1/7/2015 16:00:00,2.32
1/8/2015 16:00:00,2.31
1/9/2015 16:00:00,2.32
1/12/2015 16:00:00,2.3
1/13/2015 16:00:00,2.16
1/14/2015 16:00:00,2.06
1/15/2015 16:00:00,2.06
1/16/2015 16:00:00,2
1/19/2015 16:00:00,2
1/20/2015 16:00:00,1.93
1/21/2015 16:00:00,2
1/22/2015 16:00:00,2
1/23/2015 16:00:00,2.08
1/27/2015 16:00:00,1.96
1/28/2015 16:00:00,2.05
1/29/2015 16:00:00,1.93
1/30/2015 16:00:00,1.95
2/2/2015 16:00:00,2
2/3/2015 16:00:00,2.2
2/4/2015 16:00:00,2.24
2/5/2015 16:00:00,2.2
2/6/2015 16:00:00,2.2
2/9/2015 16:00:00,2.19
2/10/2015 16:00:00,2.16
2/11/2015 16:00:00,2.07
2/12/2015 16:00:00,2.09
2/13/2015 16:00:00,2.3
2/16/2015 16:00:00,2.48
2/17/2015 16:00:00,2.4
2/18/2015 16:00:00,2.56
2/19/2015 16:00:00,2.47
2/20/2015 16:00:00,2.53
2/23/2015 16:00:00,2.47
2/24/2015 16:00:00,2.63
2/25/2015 16:00:00,2.57
2/26/2015 16:00:00,2.52
2/27/2015 16:00:00,2.41
3/2/2015 16:00:00,2.52
3/3/2015 16:00:00,2.47
3/4/2015 16:00:00,2.5
3/5/2015 16:00:00,2.42
3/6/2015 16:00:00,2.32
3/9/2015 16:00:00,2.28
3/10/2015 16:00:00,2.21
3/11/2015 16:00:00,2.12
3/12/2015 16:00:00,2.16
3/13/2015 16:00:00,2.17
3/16/2015 16:00:00,2.1
3/17/2015 16:00:00,2.39
3/18/2015 16:00:00,2.42
3/19/2015 16:00:00,2.43
3/20/2015 16:00:00,1.99
3/23/2015 16:00:00,2.03
3/24/2015 16:00:00,2.04
3/25/2015 16:00:00,1.99
3/26/2015 16:00:00,2.05
3/27/2015 16:00:00,2.07
3/30/2015 16:00:00,1.96
3/31/2015 16:00:00,1.99
4/1/2015 16:00:00,2.02
4/2/2015 16:00:00,1.97
4/7/2015 16:00:00,2.01
4/8/2015 16:00:00,2.18
4/9/2015 16:00:00,2.19
4/10/2015 16:00:00,2.21
4/13/2015 16:00:00,2.18
4/14/2015 16:00:00,2.26
4/15/2015 16:00:00,2.34
4/16/2015 16:00:00,2.42
4/17/2015 16:00:00,2.53
4/20/2015 16:00:00,2.57
4/21/2015 16:00:00,2.47
4/22/2015 16:00:00,2.48
